version,run,valid,commit,change_type,unique_variable,window_minutes,candidates,pure_fbs,reliable_cost,profit_pass,submitted,in_window_confirmed,carry_in_confirmed,own_in_window_confirmed,late_confirmed,attributable_finals,strict_per_hour,production_per_hour,pure_fbs_rate,reliable_1688_rate,final_conversion,captcha,soft_block,browser_crash,runtime_error,production_files_changed
v120,20260723_194310_ozon10m_v120,true,6cd21c8736cb09a1afb8509d5aece9236addc742,配置,restrict-source-dispatch-to-three-v119-full-funnel-sources,10,18,3,2,0,0,2,2,0,0,0,12,0,0.16666666666666666,0.6666666666666666,,0,0,0,0,
v121,20260723_200400_ozon10m_v121,true,c4d2943262b60f531b910c265669a8aa938a9c46,代码+配置,require-listing-plugin-fbs-evidence-before-detail,10,14,10,6,4,4,1,0,1,3,4,6,24,0.7142857142857143,0.6,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
v122,20260723_202100_ozon10m_v122,true,fb5226a1b452e33129df1015bfbc8ed323de865d,配置,reuse-scanned-source-checkpoint-after-listing-fbs-evidence-gate,10,4,4,1,0,0,3,3,0,0,0,18,0,1,0.25,,0,0,0,0,
v123,20260723_203630_ozon10m_v123,true,2488ac3e150724639232cbba2e045463bfc63271,代码+配置,inherit-confidence-limited-seller-family-score-for-unseen-url-variants,10,4,3,2,1,1,0,0,0,1,1,0,6,0.75,0.6666666666666666,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
v124,20260723_205540_ozon10m_v124,false,2488ac3e150724639232cbba2e045463bfc63271,配置,count-only-gate-admissible-fbs-cards-for-source-exhaustion,10,,,,,,,,,,,,,0,,,3,0,0,0,
v124b,20260724_123826_ozon10m_v124b,true,0b00ad60ca6fd678fdde7e1637971d10f88dd1e5,代码+配置,count-only-gate-admissible-fbs-cards-for-source-exhaustion,10,6,5,4,2,2,2,0,2,0,2,12,12,0.8333333333333334,0.8,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
v125,20260724_125355_ozon10m_v125,true,faff67ed07027acf4a84e725d59ba66f1652e8dc,配置,remove-bounded-deep-exemption-from-scan-exhaustion-penalty,10,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,
v126,20260724_130924_ozon10m_v126,true,7448422a08689855b00b6fd33fbabf02bd72832c,配置,seed-latest-strict-source-yield-across-runs,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,
v127,20260724_132143_ozon10m_v127,true,9ee9548a656d0295076b0841e1886ba9c7e39532,配置,exact-allowlist-latest-strict-derived-searches,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,
v128,20260724_133322_ozon10m_v128,true,365dc541fd5991b95e43fc7bf4fb4a2605a72c32,配置,replace-title-searches-with-next-unseen-productive-seller-pages,10,2,1,1,0,0,0,0,0,0,0,0,0,0.5,1,,0,0,0,0,
v129,20260724_134656_ozon10m_v129,true,f8c49e7bab204128769be7cbf5f3c9448fdb2fde,配置,seed-only-untouched-exact-fbs-historical-cards,10,4,3,1,0,0,0,0,0,0,0,0,0,0.75,0.3333333333333333,,0,0,0,0,
v130,20260724_140042_ozon10m_v130,true,196394012d68c2a3317e1d70f8af5411307c2be7,配置,enable-bounded-retained-replay-12,10,21,16,13,9,9,4,0,4,4,8,24,48,0.7619047619047619,0.8125,0.8888888888888888,0,0,0,0,
v131,20260724_141457_ozon30m_v131,false,5b352266d98ec61c4d210365a8cc36328d2b27bd,配置,formal-30m-window-after-v130-entry-gate,30,,,,,,,,,,,,,0.6666666666666666,0.75,0,0,0,0,0,
v131b,20260724_142017_ozon30m_v131b,true,342696bb67e083ee76770ee60ea49062a6b05c9a,配置,correct-consumer-target-and-restart-full-30m,30,46,22,7,5,6,6,3,3,2,5,12,10,0.4782608695652174,0.3181818181818182,1,0,0,0,0,
v132,20260724_145524_ozon10m_v132,true,7a9e5902b606a83c579e0ca9ea9211852ad378d2,配置,replace-retained-long-tail-with-proven-source-frontier,10,12,10,9,7,7,4,3,1,5,6,24,36,0.8333333333333334,0.9,0.8571428571428571,0,0,0,0,
v133,20260724_151030_ozon30m_v133,true,cc296cb8192e81032655d4c667d485d3268e70e7,配置,continue-v132-proven-source-frontier,30,12,8,4,3,3,6,5,1,0,1,12,2,0.6666666666666666,0.5,0.3333333333333333,0,0,0,0,
v134,20260724_154500_ozon10m_v134,true,1a51a6fe650d21db608f01e91628c151346433b8,代码+配置,exact-allowlist-preserves-explicit-page,10,11,10,7,6,6,0,0,0,3,3,0,18,0.9090909090909091,0.7,0.5,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
